"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";15997
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Perusasteen suorittaneet (KO)";1854
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Koulutetut yhteensä (KO)";14143
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";2663
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";1690
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";3813
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";5977
"00120  Punavuori - Bulevardi (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";6209
"00120  Punavuori - Bulevardi (Helsinki)";"Perusasteen suorittaneet (KO)";705
"00120  Punavuori - Bulevardi (Helsinki)";"Koulutetut yhteensä (KO)";5504
"00120  Punavuori - Bulevardi (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";1015
"00120  Punavuori - Bulevardi (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";761
"00120  Punavuori - Bulevardi (Helsinki)";"Alimman korkea-asteen tai alemman korkeakoulututkinnon suorittaneet (KO)";1460
"00120  Punavuori - Bulevardi (Helsinki)";"Ylemmän korkeakoulututkinnon suorittaneet (KO)";2268
"00130  Kaartinkaupunki (Helsinki)";"18 vuotta täyttäneet yhteensä (KO)";1484
"00130  Kaartinkaupunki (Helsinki)";"Perusasteen suorittaneet (KO)";192
"00130  Kaartinkaupunki (Helsinki)";"Koulutetut yhteensä (KO)";1292
"00130  Kaartinkaupunki (Helsinki)";"Ylioppilastutkinnon suorittaneet (KO)";268
"00130  Kaartinkaupunki (Helsinki)";"Ammatillisen tutkinnon suorittaneet (KO)";142
