"12f1 -- 3. Asukkaiden käytettävissä olevat rahatulot, 2010-2022"

"Postinumeroalue";"Tiedot";"2022"
"00000  KOKO MAA";"18 vuotta täyttäneet yhteensä (HR)";4537778
"00000  KOKO MAA";"Asukkaiden keskitulot (HR)";28055
"00000  KOKO MAA";"Asukkaiden mediaanitulot (HR)";24203
"00000  KOKO MAA";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";907557
"00000  KOKO MAA";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";2722666
"00000  KOKO MAA";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";907555
"00000  KOKO MAA";"Asukkaiden ostovoimakertymä (HR)";127307689805
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";15997
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Asukkaiden keskitulot (HR)";45302
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Asukkaiden mediaanitulot (HR)";31186
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";2794
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";6556
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";6647
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";724691341
"00120  Punavuori - Bulevardi (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";6209
"00120  Punavuori - Bulevardi (Helsinki)";"Asukkaiden keskitulot (HR)";56441
"00120  Punavuori - Bulevardi (Helsinki)";"Asukkaiden mediaanitulot (HR)";32491
"00120  Punavuori - Bulevardi (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";996
"00120  Punavuori - Bulevardi (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";2444
"00120  Punavuori - Bulevardi (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";2769
"00120  Punavuori - Bulevardi (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";350441463
"00130  Kaartinkaupunki (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";1484
"00130  Kaartinkaupunki (Helsinki)";"Asukkaiden keskitulot (HR)";77808
"00130  Kaartinkaupunki (Helsinki)";"Asukkaiden mediaanitulot (HR)";35684
"00130  Kaartinkaupunki (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";275
"00130  Kaartinkaupunki (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";476
"00130  Kaartinkaupunki (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";733
"00130  Kaartinkaupunki (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";115467133
"00140  Kaivopuisto - Ullanlinna (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";6674
"00140  Kaivopuisto - Ullanlinna (Helsinki)";"Asukkaiden keskitulot (HR)";77060
"00140  Kaivopuisto - Ullanlinna (Helsinki)";"Asukkaiden mediaanitulot (HR)";33228
"00140  Kaivopuisto - Ullanlinna (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";1110
"00140  Kaivopuisto - Ullanlinna (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";2525
"00140  Kaivopuisto - Ullanlinna (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";3039
"00140  Kaivopuisto - Ullanlinna (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";514299713
"00150  Punavuori - Eira - Hernesaari (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";8162
"00150  Punavuori - Eira - Hernesaari (Helsinki)";"Asukkaiden keskitulot (HR)";48755
"00150  Punavuori - Eira - Hernesaari (Helsinki)";"Asukkaiden mediaanitulot (HR)";30608
"00150  Punavuori - Eira - Hernesaari (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";1330
"00150  Punavuori - Eira - Hernesaari (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";3616
"00150  Punavuori - Eira - Hernesaari (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";3216
"00150  Punavuori - Eira - Hernesaari (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";397938367
"00160  Katajanokka (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";4320
"00160  Katajanokka (Helsinki)";"Asukkaiden keskitulot (HR)";53875
"00160  Katajanokka (Helsinki)";"Asukkaiden mediaanitulot (HR)";31641
"00160  Katajanokka (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";665
"00160  Katajanokka (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";1861
"00160  Katajanokka (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";1794
"00160  Katajanokka (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";232739799
"00170  Kruununhaka (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";6267
"00170  Kruununhaka (Helsinki)";"Asukkaiden keskitulot (HR)";46421
"00170  Kruununhaka (Helsinki)";"Asukkaiden mediaanitulot (HR)";32359
"00170  Kruununhaka (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";996
"00170  Kruununhaka (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";2548
"00170  Kruununhaka (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";2723
"00170  Kruununhaka (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";290922990
"00180  Kamppi - Ruoholahti (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";12418
"00180  Kamppi - Ruoholahti (Helsinki)";"Asukkaiden keskitulot (HR)";38795
"00180  Kamppi - Ruoholahti (Helsinki)";"Asukkaiden mediaanitulot (HR)";28458
"00180  Kamppi - Ruoholahti (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";2316
"00180  Kamppi - Ruoholahti (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";5942
"00180  Kamppi - Ruoholahti (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";4160
"00180  Kamppi - Ruoholahti (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";481760014
"00190  Suomenlinna (Helsinki)";"18 vuotta täyttäneet yhteensä (HR)";483
"00190  Suomenlinna (Helsinki)";"Asukkaiden keskitulot (HR)";31945
"00190  Suomenlinna (Helsinki)";"Asukkaiden mediaanitulot (HR)";30062
"00190  Suomenlinna (Helsinki)";"Alimpaan tuloluokkaan kuuluvat asukkaat (HR)";58
"00190  Suomenlinna (Helsinki)";"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)";261
"00190  Suomenlinna (Helsinki)";"Ylimpään tuloluokkaan kuuluvat asukkaat (HR)";164
"00190  Suomenlinna (Helsinki)";"Asukkaiden ostovoimakertymä (HR)";15429575
