"12f6 -- 8. Asukkaiden pääasiallinen toiminta, 2010-2022"

"Postinumeroalue";"Tiedot";"2022"
"00000  KOKO MAA";"Asukkaat yhteensä (PT)";5563970
"00000  KOKO MAA";"Työlliset (PT)";2423548
"00000  KOKO MAA";"Työttömät (PT)";257556
"00000  KOKO MAA";"Lapset 0-14-vuotiaat (PT)";840328
"00000  KOKO MAA";"Opiskelijat (PT)";413173
"00000  KOKO MAA";"Eläkeläiset (PT)";1445115
"00000  KOKO MAA";"Muut (PT)";184250
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Asukkaat yhteensä (PT)";18030
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Työlliset (PT)";9979
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Työttömät (PT)";630
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Lapset 0-14-vuotiaat (PT)";1656
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Opiskelijat (PT)";1559
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Eläkeläiset (PT)";3437
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)";"Muut (PT)";769
"00120  Punavuori - Bulevardi (Helsinki)";"Asukkaat yhteensä (PT)";7192
"00120  Punavuori - Bulevardi (Helsinki)";"Työlliset (PT)";4018
"00120  Punavuori - Bulevardi (Helsinki)";"Työttömät (PT)";254
"00120  Punavuori - Bulevardi (Helsinki)";"Lapset 0-14-vuotiaat (PT)";800
"00120  Punavuori - Bulevardi (Helsinki)";"Opiskelijat (PT)";517
"00120  Punavuori - Bulevardi (Helsinki)";"Eläkeläiset (PT)";1242
"00120  Punavuori - Bulevardi (Helsinki)";"Muut (PT)";361
"00130  Kaartinkaupunki (Helsinki)";"Asukkaat yhteensä (PT)";1731
"00130  Kaartinkaupunki (Helsinki)";"Työlliset (PT)";938
"00130  Kaartinkaupunki (Helsinki)";"Työttömät (PT)";47
"00130  Kaartinkaupunki (Helsinki)";"Lapset 0-14-vuotiaat (PT)";196
"00130  Kaartinkaupunki (Helsinki)";"Opiskelijat (PT)";142
"00130  Kaartinkaupunki (Helsinki)";"Eläkeläiset (PT)";297
"00130  Kaartinkaupunki (Helsinki)";"Muut (PT)";111
"00140  Kaivopuisto - Ullanlinna (Helsinki)";"Asukkaat yhteensä (PT)";7729
"00140  Kaivopuisto - Ullanlinna (Helsinki)";"Työlliset (PT)";4028
"00140  Kaivopuisto - Ullanlinna (Helsinki)";"Työttömät (PT)";275
"00140  Kaivopuisto - Ullanlinna (Helsinki)";"Lapset 0-14-vuotiaat (PT)";893
"00140  Kaivopuisto - Ullanlinna (Helsinki)";"Opiskelijat (PT)";556
"00140  Kaivopuisto - Ullanlinna (Helsinki)";"Eläkeläiset (PT)";1565
"00140  Kaivopuisto - Ullanlinna (Helsinki)";"Muut (PT)";412
"00150  Punavuori - Eira - Hernesaari (Helsinki)";"Asukkaat yhteensä (PT)";9239
"00150  Punavuori - Eira - Hernesaari (Helsinki)";"Työlliset (PT)";5230
"00150  Punavuori - Eira - Hernesaari (Helsinki)";"Työttömät (PT)";407
"00150  Punavuori - Eira - Hernesaari (Helsinki)";"Lapset 0-14-vuotiaat (PT)";928
"00150  Punavuori - Eira - Hernesaari (Helsinki)";"Opiskelijat (PT)";636
"00150  Punavuori - Eira - Hernesaari (Helsinki)";"Eläkeläiset (PT)";1577
"00150  Punavuori - Eira - Hernesaari (Helsinki)";"Muut (PT)";461
"00160  Katajanokka (Helsinki)";"Asukkaat yhteensä (PT)";5096
"00160  Katajanokka (Helsinki)";"Työlliset (PT)";2474
"00160  Katajanokka (Helsinki)";"Työttömät (PT)";178
"00160  Katajanokka (Helsinki)";"Lapset 0-14-vuotiaat (PT)";636
"00160  Katajanokka (Helsinki)";"Opiskelijat (PT)";353
"00160  Katajanokka (Helsinki)";"Eläkeläiset (PT)";1227
"00160  Katajanokka (Helsinki)";"Muut (PT)";228
"00170  Kruununhaka (Helsinki)";"Asukkaat yhteensä (PT)";7238
"00170  Kruununhaka (Helsinki)";"Työlliset (PT)";4050
"00170  Kruununhaka (Helsinki)";"Työttömät (PT)";217
"00170  Kruununhaka (Helsinki)";"Lapset 0-14-vuotiaat (PT)";796
"00170  Kruununhaka (Helsinki)";"Opiskelijat (PT)";576
"00170  Kruununhaka (Helsinki)";"Eläkeläiset (PT)";1311
"00170  Kruununhaka (Helsinki)";"Muut (PT)";288
"00180  Kamppi - Ruoholahti (Helsinki)";"Asukkaat yhteensä (PT)";14461
"00180  Kamppi - Ruoholahti (Helsinki)";"Työlliset (PT)";7705
