# Region, postal code, median income €
Jyväskylä Keskus, 40100, 18861
Halssila, 40400, 24046
Mannila-Taulumäki, 40200, 23 773
Kuokkala-Ristikivi, 40520, 22 226
Mattilanpelto, 40600, 21 744
Seppälän Teollisuusalue, 40320, 21 511
Nisula, 40720, 20 657
Keljo-Ristonmaa, 40500, 20 126
Mäki-Matti, 40700, 18 526
Leppävesi, 41310, 25 911
Jyskä, 40420, 25 270
Vihtavuori, 41330, 25 115
Leppälahti, 41450, 24 600
Oravasaari, 41630, 24 578
Vuoritsalo, 40820, 22 961
Toivakka Keskus, 41660, 22 520
Seppälän Teollisuusalue, 40320, 21 511
Huhtasuo, 40340, 18 026
Puuppola, 41120, 28 857
Länsi-Palokka, 40660, 26 233
Kuikka, 41140, 26 223
Leppävesi, 41310, 25 911
Vesanka, 41940, 25 393
Ritoniemi-Lohikoski, 40250, 25 290
Vihtavuori, 41330, 25 115
Mannila-Taulumäki, 40200, 23 773
Kypärämäki, 40630, 23 658
Seppälän Teollisuusalue, 40320, 21 511
Kortepohja, 40740, 19 022
Kinkomaa, 40930, 27 340
Rannila, 41860, 27 292
Länsi-Palokka, 40660, 26 233
Keljonkangas, 40530, 26 212
Vesanka, 41940, 25 393
Oravasaari, 41630, 24 578
Säynätsalo, 40900, 22 937
Korpilahti Keskus, 41800, 22 705
Rutalahti-Kivisuo, 41710, 22 165
Keljo-Ristonmaa, 40500, 20 126
Tampere Keskus, 33100, 22 420
Messukylä, 33700, 25 530
Lapinniemi-Käpylä, 33180, 23 327
Härmälä-Rantaperkiö, 33900, 22 400
Tampere Keskus Läntinen, 33200, 22 356
Itä-Amuri-Tammerkoski, 33210, 22 141
Osmonmäki-Petsamo, 33500, 21 731
Nekala, 33800, 20 956
Kaleva, 33540, 19 796
Naantali Keskus, 21100, 24 184
Moikoinen-Pikisaari, 20900, 29 507
Kakskerta, 20960, 28 249
Merimasku, 21160, 28 142
Poikko, 21130, 28 133
Viherjäinen, 21120, 27 982
Masku, 21250, 27 590
Taimo-Nuhjala-Lietsala, 21110, 26 976
Rymättylä Keskus, 21140, 23 732
Turku Keskus, 20100, 22 000
Pansio-Perno, 20240, 19 296
Helsinki keskusta - Etu-Töölö, 00100, 30 659
Kuusisaari - Lehtisaari, 00340, 36 661
Kaartinkaupunki, 00130, 34 786
Pohjois-Lauttasaari, 00200, 31 067
Kruununhaka, 00170, 31 048
Punavuori - Bulevardi, 00120, 30 668
Keski-Töölö, 00260, 29 899
Taka-Töölö, 00250, 28 321
Kamppi - Ruoholahti, 00180, 27 306
Kallio, 00530, 24 884
Oulu Keskus, 90100, 20 156
Hietasaari, 90510, 24 035
Karjasilta, 90140, 22 709
Raksila, 90130, 21 154
Heinäpää, 90120, 20 011
Tuira, 90500, 18 601
Porvoo Keskus, 06100, 25 253
Hamari, 06650, 27 458
Saksala-Suomenkylä, 06500, 27 293
Eestinmäki-Ernestas, 06450, 26 993
Porvoo itäinen, 06200, 25 953
Kråkö, 07410, 25 091
Gammelbacka, 06400, 24 922
Kevätkumpu, 06150, 24 051
Tapiola, 02100, 30 435
Westend, 02160, 41 599
Pohjois-Tapiola, 02130, 34 342
Pohjois-Lauttasaari, 00200, 31 067
Otsolahti, 02110, 30 852
Länsikorkee-Suvikumpu, 02120, 30 742
Niittykumpu, 02200, 29 631
Matinkylä, 02230, 26 408
Otaniemi, 02150, 12 000
Kuopio Keskus, 70100, 21 550
Jynkänmäki, 70840, 27 801
Litmanen, 70820, 24 734
Linnanpelto, 70300, 24 468
Räsälä, 71330, 23 797
Jynkkä, 70780, 23 734
Kortejoki, 71130, 23 363
Särkiniemi, 70700, 21 468
Haapaniemi, 70620, 21 151
Niirala-Huuhanmäki, 70600, 20 879
Männistö, 70500, 19 783
Etu-Niirala, 70110, 19 666
Mikkeli Keskus, 50100, 20 860
Syysjärvi, 50700, 26 771
Annilanselkä, 50800, 25 809
Moision Sairaala-alue, 50520, 25 156
Kovala, 50200, 24 724
Karkialampi, 50150, 23 542
Ihastjärvi, 50970, 23 038
Tuukkala-Kaituenmäki, 50500, 22 926
Nuijamies, 50130, 22 705
Peitsari, 50170, 22 254
Tuppurala, 50190, 20 923
Siekkilä, 50120, 20 425
Kattilansilta, 50160, 18 200
